crop,year,season,state,area,production,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH
Cardamom,1997,Whole Year ,Karnataka,21230.0,1214,2020459.1,6581.3,0.058571429,23.55,894.16,69.61,72,42,25,6.9
Coriander,1997,Whole Year ,Karnataka,17317.0,2853,1648058.89,5368.27,0.121333333,23.55,894.16,69.61,72,42,25,6.9
Dry chillies,1997,Kharif     ,Karnataka,186579.0,139206,17756723.43,57839.49,1.078333333,23.55,894.16,69.61,72,42,25,6.9
Dry chillies,1997,Rabi       ,Karnataka,4565.0,7895,434451.05,1415.15,1.869444444,23.55,894.16,69.61,72,42,25,6.9
Garlic,1997,Whole Year ,Karnataka,5061.0,3799,481655.37,1568.91,1.585,23.55,894.16,69.61,72,42,25,6.9
Ginger,1997,Kharif     ,Karnataka,3619.0,4745,344420.23,1121.89,1.262307692,23.55,894.16,69.61,72,42,25,6.9
Groundnut,1997,Kharif     ,Karnataka,847666.0,525562,80672373.22,262776.46,0.709411765,23.55,894.16,69.61,72,42,25,6.9
Groundnut,1997,Rabi       ,Karnataka,192416.0,181071,18312230.72,59648.96,1.133333333,23.55,894.16,69.61,72,42,25,6.9
Horse-gram,1997,Kharif     ,Karnataka,178872.0,80124,17023248.24,55450.32,0.45,23.55,894.16,69.61,72,42,25,6.9
Horse-gram,1997,Rabi       ,Karnataka,163173.0,82572,15529174.41,50583.63,0.514705882,23.55,894.16,69.61,72,42,25,6.9
Jowar,1997,Kharif     ,Karnataka,389690.0,516093,37086797.3,120803.9,1.228,23.55,894.16,69.61,72,42,25,6.9
Jowar,1997,Rabi       ,Karnataka,1501172.0,722773,142866539.2,465363.32,0.510714286,23.55,894.16,69.61,72,42,25,6.9
Jowar,1997,Summer     ,Karnataka,6137.0,15135,584058.29,1902.47,2.470909091,23.55,894.16,69.61,72,42,25,6.9
Maize,1997,Kharif     ,Karnataka,502797.0,1391132,47851190.49,155867.07,2.687777778,23.55,894.16,69.61,72,42,25,6.9
Maize,1997,Rabi       ,Karnataka,48844.0,98932,4648483.48,15141.64,1.98,23.55,894.16,69.61,72,42,25,6.9
Maize,1997,Summer     ,Karnataka,9730.0,20893,926004.1,3016.3,2.165714286,23.55,894.16,69.61,72,42,25,6.9
Ragi,1997,Kharif     ,Karnataka,897921.0,1214282,85455141.57,278355.51,1.191333333,23.55,894.16,69.61,72,42,25,6.9
Ragi,1997,Rabi       ,Karnataka,27104.0,33696,2579487.68,8402.24,1.312222222,23.55,894.16,69.61,72,42,25,6.9
Ragi,1997,Summer     ,Karnataka,13521.0,25035,1286793.57,4191.51,1.847777778,23.55,894.16,69.61,72,42,25,6.9
Rice,1997,Kharif     ,Karnataka,1031530.0,2340493,98170710.1,319774.3,2.2335,23.55,894.16,69.61,72,42,25,6.9
Rice,1997,Rabi       ,Karnataka,53889.0,109350,5128616.13,16705.59,2.073846154,23.55,894.16,69.61,72,42,25,6.9
Rice,1997,Summer     ,Karnataka,268044.0,762759,25509747.48,83093.64,2.829444444,23.55,894.16,69.61,72,42,25,6.9
Sugarcane,1997,Whole Year ,Karnataka,308857.0,28999269,29393920.69,95745.67,91.74736842,23.55,894.16,69.61,72,42,25,6.9
Turmeric,1997,Whole Year ,Karnataka,4342.0,24108,413228.14,1346.02,4.452941176,23.55,894.16,69.61,72,42,25,6.9
Wheat,1997,Rabi       ,Karnataka,250698.0,118512,23858928.66,77716.38,0.548333333,23.55,894.16,69.61,72,42,25,6.9
Arecanut,1997,Whole Year ,Kerala,76145.0,93995,7246719.65,23604.95,1.147857143,27.06,2005.29,78.82,65,28,50,5.7
Black pepper,1997,Whole Year ,Kerala,173855.0,55520,16545780.35,53895.05,0.240714286,27.06,2005.29,78.82,65,28,50,5.7
Cashewnut,1997,Whole Year ,Kerala,96073.0,74142,9143267.41,29782.63,0.589285714,27.06,2005.29,78.82,65,28,50,5.7
Coconut ,1997,Whole Year ,Kerala,884344.0,5210000000,84163018.48,274146.64,5376.054286,27.06,2005.29,78.82,65,28,50,5.7
Tapioca,1997,Whole Year ,Kerala,132875.0,2841819,12645713.75,41191.25,22.80357143,27.06,2005.29,78.82,65,28,50,5.7
Arecanut,1997,Whole Year ,Meghalaya,9569.0,12116,910681.73,2966.39,1.245714286,17.16,1954.46,77.31,52,16,33,5.6
Arhar/Tur,1997,Kharif     ,Meghalaya,865.0,683,82322.05,268.15,0.806666667,17.16,1954.46,77.31,52,16,33,5.6
Banana,1997,Whole Year ,Meghalaya,5239.0,63011,498595.63,1624.09,11.20714286,17.16,1954.46,77.31,52,16,33,5.6
Castor seed,1997,Rabi       ,Meghalaya,30.0,15,2855.1,9.3,0.49,17.16,1954.46,77.31,52,16,33,5.6
Cotton(lint),1997,Kharif     ,Meghalaya,7544.0,5590,717962.48,2338.64,0.796666667,17.16,1954.46,77.31,52,16,33,5.6
Dry chillies,1997,Whole Year ,Meghalaya,1766.0,1106,168070.22,547.46,0.64,17.16,1954.46,77.31,52,16,33,5.6
Ginger,1997,Kharif     ,Meghalaya,7357.0,45260,700165.69,2280.67,6.054285714,17.16,1954.46,77.31,52,16,33,5.6
Gram,1997,Rabi       ,Meghalaya,443.0,270,42160.31,137.33,0.613333333,17.16,1954.46,77.31,52,16,33,5.6
Jute,1997,Kharif     ,Meghalaya,4243.0,34683,403806.31,1315.33,8.436666667,17.16,1954.46,77.31,52,16,33,5.6
Linseed,1997,Kharif     ,Meghalaya,50.0,22,4758.5,15.5,0.44,17.16,1954.46,77.31,52,16,33,5.6
Maize,1997,Kharif     ,Meghalaya,17175.0,24878,1634544.75,5324.25,1.444285714,17.16,1954.46,77.31,52,16,33,5.6
Mesta,1997,Kharif     ,Meghalaya,4688.0,21558,446156.96,1453.28,4.68,17.16,1954.46,77.31,52,16,33,5.6
Mesta,1997,Whole Year ,Meghalaya,861.0,713,81941.37,266.91,0.7525,17.16,1954.46,77.31,52,16,33,5.6
Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909.0,1511,181679.53,591.79,0.777142857,17.16,1954.46,77.31,52,16,33,5.6
Potato,1997,Whole Year ,Meghalaya,20764.0,200509,1976109.88,6436.84,8.641428571,17.16,1954.46,77.31,52,16,33,5.6
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914.0,4467,658005.38,2143.34,0.608571429,17.16,1954.46,77.31,52,16,33,5.6
Rice,1997,Kharif     ,Meghalaya,105170.0,150101,10009028.9,32602.7,1.378571429,17.16,1954.46,77.31,52,16,33,5.6
Sesamum,1997,Kharif     ,Meghalaya,1326.0,688,126195.42,411.06,0.575714286,17.16,1954.46,77.31,52,16,33,5.6
Small millets,1997,Kharif     ,Meghalaya,2804.0,2237,266856.68,869.24,0.861428571,17.16,1954.46,77.31,52,16,33,5.6
Soyabean,1997,Kharif     ,Meghalaya,898.0,814,85462.66,278.38,0.921428571,17.16,1954.46,77.31,52,16,33,5.6
Sugarcane,1997,Whole Year ,Meghalaya,82.0,225,7803.94,25.42,2.352,17.16,1954.46,77.31,52,16,33,5.6
Sweet potato,1997,Whole Year ,Meghalaya,5212.0,16978,496026.04,1615.72,3.221428571,17.16,1954.46,77.31,52,16,33,5.6
Tapioca,1997,Whole Year ,Meghalaya,3959.0,21087,376778.03,1227.29,6.537142857,17.16,1954.46,77.31,52,16,33,5.6
Tobacco,1997,Rabi       ,Meghalaya,742.0,505,70616.14,230.02,0.618,17.16,1954.46,77.31,52,16,33,5.6
Turmeric,1997,Whole Year ,Meghalaya,1401.0,7126,133333.17,434.31,5.425714286,17.16,1954.46,77.31,52,16,33,5.6
Wheat,1997,Rabi       ,Meghalaya,4287.0,6894,407993.79,1328.97,1.385,17.16,1954.46,77.31,52,16,33,5.6
Arecanut,1997,Whole Year ,West Bengal,8058.0,12423,766879.86,2497.98,1.691764706,25.85,1564.19,72.28,85,40,45,6.2
Arhar/Tur,1997,Whole Year ,West Bengal,3630.0,2181,345467.1,1125.3,0.777692308,25.85,1564.19,72.28,85,40,45,6.2
Bajra,1997,Kharif     ,West Bengal,207.0,95,19700.19,64.17,0.426666667,25.85,1564.19,72.28,85,40,45,6.2
Barley,1997,Whole Year ,West Bengal,6116.0,5034,582059.72,1895.96,1.68,25.85,1564.19,72.28,85,40,45,6.2
Cardamom,1997,Whole Year ,West Bengal,2674.0,7,254484.58,828.94,0.0,25.85,1564.19,72.28,85,40,45,6.2
Castor seed,1997,Whole Year ,West Bengal,660.0,46,62812.2,204.6,0.07,25.85,1564.19,72.28,85,40,45,6.2
Coconut ,1997,Whole Year ,West Bengal,24273.0,306202300,2310061.41,7524.63,13003.78778,25.85,1564.19,72.28,85,40,45,6.2
Cotton(lint),1997,Kharif     ,West Bengal,26000.0,52000,2474420.0,8060.0,2.0,25.85,1564.19,72.28,85,40,45,6.2
Dry chillies,1997,Whole Year ,West Bengal,64034.0,55569,6094115.78,19850.54,0.942777778,25.85,1564.19,72.28,85,40,45,6.2
Gram,1997,Rabi       ,West Bengal,25485.0,16994,2425407.45,7900.35,0.5975,25.85,1564.19,72.28,85,40,45,6.2
Groundnut,1997,Whole Year ,West Bengal,29615.0,38672,2818459.55,9180.65,1.13,25.85,1564.19,72.28,85,40,45,6.2
Horse-gram,1997,Kharif     ,West Bengal,5645.0,2556,537234.65,1749.95,0.438888889,25.85,1564.19,72.28,85,40,45,6.2
Jowar,1997,Whole Year ,West Bengal,948.0,450,90221.16,293.88,0.482,25.85,1564.19,72.28,85,40,45,6.2
Jute,1997,Kharif     ,West Bengal,641574.0,7549700,61058597.58,198887.94,13.44588235,25.85,1564.19,72.28,85,40,45,6.2
Khesari,1997,Rabi       ,West Bengal,25261.0,28460,2404089.37,7830.91,1.095882353,25.85,1564.19,72.28,85,40,45,6.2
Linseed,1997,Whole Year ,West Bengal,16486.0,4210,1568972.62,5110.66,0.251538462,25.85,1564.19,72.28,85,40,45,6.2
Maize,1997,Whole Year ,West Bengal,35469.0,130390,3375584.73,10995.39,2.658461538,25.85,1564.19,72.28,85,40,45,6.2
Masoor,1997,Rabi       ,West Bengal,51202.0,35040,4872894.34,15872.62,0.662352941,25.85,1564.19,72.28,85,40,45,6.2
Mesta,1997,Kharif     ,West Bengal,9689.0,89000,922102.13,3003.59,9.154166667,25.85,1564.19,72.28,85,40,45,6.2
Moong(Green Gram),1997,Kharif     ,West Bengal,1490.0,711,141803.3,461.9,0.548888889,25.85,1564.19,72.28,85,40,45,6.2
Moong(Green Gram),1997,Rabi       ,West Bengal,3269.0,1710,311110.73,1013.39,0.542857143,25.85,1564.19,72.28,85,40,45,6.2
Moong(Green Gram),1997,Summer     ,West Bengal,9959.0,303,947798.03,3087.29,0.046,25.85,1564.19,72.28,85,40,45,6.2
Niger seed,1997,Rabi       ,West Bengal,50808100.0,38657300,4835406877.0,15750511.0,0.698888889,25.85,1564.19,72.28,85,40,45,6.2
Niger seed,1997,Whole Year ,West Bengal,6512.0,3522,619747.04,2018.72,0.40375,25.85,1564.19,72.28,85,40,45,6.2
Other Kharif pulses,1997,Kharif     ,West Bengal,1279.0,725,121722.43,396.49,0.585,25.85,1564.19,72.28,85,40,45,6.2
Potato,1997,Whole Year ,West Bengal,284015.0,5581553,27029707.55,88044.65,18.23722222,25.85,1564.19,72.28,85,40,45,6.2
Ragi,1997,Autumn     ,West Bengal,12607.0,15330,1199808.19,3908.17,0.986,25.85,1564.19,72.28,85,40,45,6.2
Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123.0,250950,31132295.91,101408.13,0.718333333,25.85,1564.19,72.28,85,40,45,6.2
Rice,1997,Autumn     ,West Bengal,423121.0,751970,40268425.57,131167.51,1.837222222,25.85,1564.19,72.28,85,40,45,6.2
Rice,1997,Summer     ,West Bengal,1206829.0,3569520,114853915.9,374116.99,2.843888889,25.85,1564.19,72.28,85,40,45,6.2
Rice,1997,Winter     ,West Bengal,4270328.0,8915100,406407115.8,1323801.68,1.985555556,25.85,1564.19,72.28,85,40,45,6.2
Safflower,1997,Whole Year ,West Bengal,10800.0,3000,1027836.0,3348.0,0.2975,25.85,1564.19,72.28,85,40,45,6.2
Sannhamp,1997,Whole Year ,West Bengal,2015.0,9073,191767.55,624.65,4.598571429,25.85,1564.19,72.28,85,40,45,6.2
Sesamum,1997,Whole Year ,West Bengal,127913.0,88943,12173480.21,39653.03,0.649444444,25.85,1564.19,72.28,85,40,45,6.2
Small millets,1997,Whole Year ,West Bengal,5046.0,3222,480227.82,1564.26,0.626666667,25.85,1564.19,72.28,85,40,45,6.2
Soyabean,1997,Kharif     ,West Bengal,1555.0,1172,147989.35,482.05,1.196666667,25.85,1564.19,72.28,85,40,45,6.2
Sugarcane,1997,Whole Year ,West Bengal,25797.0,1818700,2455100.49,7997.07,67.83625,25.85,1564.19,72.28,85,40,45,6.2
Sunflower,1997,Whole Year ,West Bengal,278.0,1,26457.26,86.18,0.0,25.85,1564.19,72.28,85,40,45,6.2
Turmeric,1997,Whole Year ,West Bengal,12481.0,23556,1187816.77,3869.11,1.661111111,25.85,1564.19,72.28,85,40,45,6.2
Urad,1997,Kharif     ,West Bengal,69271.0,44480,6592521.07,21474.01,1.825,25.85,1564.19,72.28,85,40,45,6.2
Urad,1997,Rabi       ,West Bengal,16694.0,10553,1588767.98,5175.14,0.628333333,25.85,1564.19,72.28,85,40,45,6.2
Wheat,1997,Rabi       ,West Bengal,367374.0,810480,34962983.58,113885.94,1.886666667,25.85,1564.19,72.28,85,40,45,6.2
Arecanut,1998,Kharif     ,Puducherry,66.0,23,6520.8,19.14,0.35,28.33,1124.51,75.47,88,55,40,7.0
Bajra,1998,Kharif     ,Puducherry,149.0,324,14721.2,43.21,2.17,28.33,1124.51,75.47,88,55,40,7.0
Black pepper,1998,Kharif     ,Puducherry,12.0,7,1185.6,3.48,0.58,28.33,1124.51,75.47,88,55,40,7.0
Coriander,1998,Kharif     ,Puducherry,2.0,1,197.6,0.58,0.5,28.33,1124.51,75.47,88,55,40,7.0
Cotton(lint),1998,Summer     ,Puducherry,453.0,372,44756.4,131.37,0.84,28.33,1124.51,75.47,88,55,40,7.0
Dry chillies,1998,Kharif     ,Puducherry,8.0,23,790.4,2.32,2.75,28.33,1124.51,75.47,88,55,40,7.0
Groundnut,1998,Rabi       ,Puducherry,1046.0,2062,103344.8,303.34,1.54,28.33,1124.51,75.47,88,55,40,7.0
Onion,1998,Kharif     ,Puducherry,26.0,429,2568.8,7.54,16.5,28.33,1124.51,75.47,88,55,40,7.0
Ragi,1998,Kharif     ,Puducherry,112.0,366,11065.6,32.48,3.27,28.33,1124.51,75.47,88,55,40,7.0
Rice,1998,Kharif     ,Puducherry,4945.0,11518,488566.0,1434.05,2.46,28.33,1124.51,75.47,88,55,40,7.0
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1379346.8,4048.69,2.555,28.33,1124.51,75.47,88,55,40,7.0
Rice,1998,Summer     ,Puducherry,5716.0,14863,564740.8,1657.64,2.55,28.33,1124.51,75.47,88,55,40,7.0
Sesamum,1998,Kharif     ,Puducherry,147.0,120,14523.6,42.63,0.806666667,28.33,1124.51,75.47,88,55,40,7.0
Small millets,1998,Kharif     ,Puducherry,4.0,3,395.2,1.16,0.75,28.33,1124.51,75.47,88,55,40,7.0
Sugarcane,1998,Kharif     ,Puducherry,2710.0,232369,267748.0,785.9,82.595,28.33,1124.51,75.47,88,55,40,7.0
Tapioca,1998,Kharif     ,Puducherry,649.0,19110,64121.2,188.21,20.0,28.33,1124.51,75.47,88,55,40,7.0
Arecanut,1998,Whole Year ,Assam,74457.0,55355,7356351.6,21592.53,0.784347826,22.98,1701.15,73.03,60,18,38,5.8
Arhar/Tur,1998,Kharif     ,Assam,7657.0,5389,756511.6,2220.53,0.709130435,22.98,1701.15,73.03,60,18,38,5.8
Banana,1998,Whole Year ,Assam,41885.0,581884,4138238.0,12146.65,13.78826087,22.98,1701.15,73.03,60,18,38,5.8
Castor seed,1998,Kharif     ,Assam,1728.0,708,170726.4,501.12,0.411428571,22.98,1701.15,73.03,60,18,38,5.8
Coconut ,1998,Whole Year ,Assam,20166.0,149866000,1992400.8,5848.14,6045.886957,22.98,1701.15,73.03,60,18,38,5.8
Cotton(lint),1998,Kharif     ,Assam,1652.0,751,163217.6,479.08,0.399130435,22.98,1701.15,73.03,60,18,38,5.8
Dry chillies,1998,Whole Year ,Assam,14724.0,9690,1454731.2,4269.96,0.636956522,22.98,1701.15,73.03,60,18,38,5.8
Gram,1998,Rabi       ,Assam,3002.0,1503,296597.6,870.58,0.460454545,22.98,1701.15,73.03,60,18,38,5.8
Jute,1998,Kharif     ,Assam,78702.0,687173,7775757.6,22823.58,9.040869565,22.98,1701.15,73.03,60,18,38,5.8
Linseed,1998,Rabi       ,Assam,10222.0,5212,1009933.6,2964.38,0.480909091,22.98,1701.15,73.03,60,18,38,5.8
Maize,1998,Kharif     ,Assam,19810.0,13965,1957228.0,5744.9,0.608695652,22.98,1701.15,73.03,60,18,38,5.8
Mesta,1998,Kharif     ,Assam,5260.0,25623,519688.0,1525.4,4.9105,22.98,1701.15,73.03,60,18,38,5.8
Niger seed,1998,Kharif     ,Assam,8753.0,4478,864796.4,2538.37,0.520555556,22.98,1701.15,73.03,60,18,38,5.8
Onion,1998,Whole Year ,Assam,8083.0,18341,798600.4,2344.07,2.340434783,22.98,1701.15,73.03,60,18,38,5.8
Other  Rabi pulses,1998,Rabi       ,Assam,116141.0,62330,11474730.8,33680.89,0.50826087,22.98,1701.15,73.03,60,18,38,5.8
Potato,1998,Whole Year ,Assam,76958.0,611077,7603450.4,22317.82,7.230434783,22.98,1701.15,73.03,60,18,38,5.8
Rapeseed &Mustard,1998,Rabi       ,Assam,288829.0,135631,28536305.2,83760.41,0.473478261,22.98,1701.15,73.03,60,18,38,5.8
Rice,1998,Autumn     ,Assam,594979.0,520605,58783925.2,172543.91,1.055652174,22.98,1701.15,73.03,60,18,38,5.8
Rice,1998,Summer     ,Assam,223913.0,446114,22122604.4,64934.77,1.685217391,22.98,1701.15,73.03,60,18,38,5.8
Rice,1998,Winter     ,Assam,1635230.0,2288114,161560724.0,474216.7,1.395652174,22.98,1701.15,73.03,60,18,38,5.8
Sesamum,1998,Kharif     ,Assam,15940.0,8210,1574872.0,4622.6,0.485217391,22.98,1701.15,73.03,60,18,38,5.8
Small millets,1998,Kharif     ,Assam,10547.0,5450,1042043.6,3058.63,0.521363636,22.98,1701.15,73.03,60,18,38,5.8
Sugarcane,1998,Whole Year ,Assam,30571.0,1223578,3020414.8,8865.59,39.89304348,22.98,1701.15,73.03,60,18,38,5.8
Sweet potato,1998,Whole Year ,Assam,9433.0,32437,931980.4,2735.57,3.435652174,22.98,1701.15,73.03,60,18,38,5.8
Tapioca,1998,Whole Year ,Assam,2798.0,13261,276442.4,811.42,4.445217391,22.98,1701.15,73.03,60,18,38,5.8
Tobacco,1998,Whole Year ,Assam,1465.0,732,144742.0,424.85,0.569545455,22.98,1701.15,73.03,60,18,38,5.8
Turmeric,1998,Whole Year ,Assam,10729.0,7416,1060025.2,3111.41,0.666956522,22.98,1701.15,73.03,60,18,38,5.8
Wheat,1998,Rabi       ,Assam,89591.0,90509,8851590.8,25981.39,0.999545455,22.98,1701.15,73.03,60,18,38,5.8
Arecanut,1998,Whole Year ,Goa,1500.0,1820,148200.0,435.0,1.21,27.35,2059.15,74.64,65,25,45,6.2
Banana,1998,Whole Year ,Goa,1900.0,14400,187720.0,551.0,7.58,27.35,2059.15,74.64,65,25,45,6.2
Black pepper,1998,Whole Year ,Goa,250.0,70,24700.0,72.5,0.28,27.35,2059.15,74.64,65,25,45,6.2
Cashewnut,1998,Whole Year ,Goa,52875.0,15000,5224050.0,15333.75,0.28,27.35,2059.15,74.64,65,25,45,6.2
Coconut ,1998,Whole Year ,Goa,24858.0,121000000,2455970.4,7208.82,4867.65,27.35,2059.15,74.64,65,25,45,6.2
Groundnut,1998,Kharif     ,Goa,350.0,412,34580.0,101.5,1.18,27.35,2059.15,74.64,65,25,45,6.2
Groundnut,1998,Rabi       ,Goa,1048.0,2124,103542.4,303.92,2.03,27.35,2059.15,74.64,65,25,45,6.2
Other  Rabi pulses,1998,Rabi       ,Goa,8671.0,9220,856694.8,2514.59,1.06,27.35,2059.15,74.64,65,25,45,6.2
Other Kharif pulses,1998,Kharif     ,Goa,1200.0,324,118560.0,348.0,0.27,27.35,2059.15,74.64,65,25,45,6.2
Ragi,1998,Kharif     ,Goa,2500.0,2476,247000.0,725.0,0.99,27.35,2059.15,74.64,65,25,45,6.2
Rice,1998,Kharif     ,Goa,41000.0,104249,4050800.0,11890.0,2.54,27.35,2059.15,74.64,65,25,45,6.2
Rice,1998,Rabi       ,Goa,15439.0,46925,1525373.2,4477.31,3.04,27.35,2059.15,74.64,65,25,45,6.2
Sugarcane,1998,Whole Year ,Goa,1320.0,64000,130416.0,382.8,48.48,27.35,2059.15,74.64,65,25,45,6.2
Arecanut,1998,Whole Year ,Karnataka,98047.0,648365,9687043.6,28433.63,6.232,23.73,1185.08,71.65,72,42,25,6.9
Arhar/Tur,1998,Kharif     ,Karnataka,475396.0,221453,46969124.8,137864.84,0.400833333,23.73,1185.08,71.65,72,42,25,6.9
Bajra,1998,Kharif     ,Karnataka,415816.0,282231,41082620.8,120586.64,0.601764706,23.73,1185.08,71.65,72,42,25,6.9
Bajra,1998,Rabi       ,Karnataka,451.0,536,44558.8,130.79,1.19,23.73,1185.08,71.65,72,42,25,6.9
Bajra,1998,Summer     ,Karnataka,846.0,498,83584.8,245.34,0.59,23.73,1185.08,71.65,72,42,25,6.9
Black pepper,1998,Whole Year ,Karnataka,4387.0,10342,433435.6,1272.23,2.238,23.73,1185.08,71.65,72,42,25,6.9
Cardamom,1998,Whole Year ,Karnataka,20218.0,1153,1997538.4,5863.22,0.06,23.73,1185.08,71.65,72,42,25,6.9
Castor seed,1998,Kharif     ,Karnataka,27246.0,23245,2691904.8,7901.34,0.831818182,23.73,1185.08,71.65,72,42,25,6.9
Coconut ,1998,Whole Year ,Karnataka,310399.0,1611530000,30667421.2,90015.71,4692.261111,23.73,1185.08,71.65,72,42,25,6.9
Coriander,1998,Whole Year ,Karnataka,17935.0,2982,1771978.0,5201.15,0.118,23.73,1185.08,71.65,72,42,25,6.9
Cotton(lint),1998,Kharif     ,Karnataka,636495.0,976876,62885706.0,184583.55,1.556521739,23.73,1185.08,71.65,72,42,25,6.9
Dry chillies,1998,Whole Year ,Karnataka,170319.0,146498,16827517.2,49392.51,1.123703704,23.73,1185.08,71.65,72,42,25,6.9
Garlic,1998,Whole Year ,Karnataka,3574.0,3034,353111.2,1036.46,1.459411765,23.73,1185.08,71.65,72,42,25,6.9
Ginger,1998,Kharif     ,Karnataka,3896.0,51169,384924.8,1129.84,12.75944444,23.73,1185.08,71.65,72,42,25,6.9
Gram,1998,Rabi       ,Karnataka,355326.0,202508,35106208.8,103044.54,0.573478261,23.73,1185.08,71.65,72,42,25,6.9
Groundnut,1998,Kharif     ,Karnataka,1012577.0,929016,100042607.6,293647.33,0.8568,23.73,1185.08,71.65,72,42,25,6.9
Groundnut,1998,Rabi       ,Karnataka,217445.0,263118,21483566.0,63059.05,1.3052,23.73,1185.08,71.65,72,42,25,6.9
Horse-gram,1998,Kharif     ,Karnataka,189486.0,90718,18721216.8,54950.94,0.504615385,23.73,1185.08,71.65,72,42,25,6.9
