date,state,market,crop,price_min,price_max,price_modal,arrivals_tonnes
2026-01-13,Haryana,Haryana Mandi,Rice,2380.67,2909.71,2645.19,346
2026-01-14,Haryana,Haryana Mandi,Rice,2363.48,2888.7,2626.09,285
2026-01-15,Haryana,Haryana Mandi,Rice,2552.57,3119.8,2836.18,361
2026-01-16,Haryana,Haryana Mandi,Rice,2126.12,2598.6,2362.36,327
2026-01-17,Haryana,Haryana Mandi,Rice,2236.45,2733.44,2484.94,297
2026-01-18,Haryana,Haryana Mandi,Rice,2384.71,2914.64,2649.68,114
2026-01-19,Haryana,Haryana Mandi,Rice,2699.67,3299.6,2999.64,412
2026-01-20,Haryana,Haryana Mandi,Rice,2432.49,2973.05,2702.77,436
2026-01-21,Haryana,Haryana Mandi,Rice,2151.72,2629.88,2390.8,147
2026-01-22,Haryana,Haryana Mandi,Rice,2518.27,3077.88,2798.08,64
2026-01-23,Haryana,Haryana Mandi,Rice,2094.36,2559.77,2327.06,360
2026-01-24,Haryana,Haryana Mandi,Rice,2117.6,2588.17,2352.89,174
2026-01-25,Haryana,Haryana Mandi,Rice,2167.08,2648.65,2407.86,53
2026-01-26,Haryana,Haryana Mandi,Rice,2211.4,2702.83,2457.12,207
2026-01-27,Haryana,Haryana Mandi,Rice,2600.9,3178.87,2889.89,162
2026-01-28,Haryana,Haryana Mandi,Rice,2367.67,2893.81,2630.74,328
2026-01-29,Haryana,Haryana Mandi,Rice,2172.97,2655.85,2414.41,365
2026-01-30,Haryana,Haryana Mandi,Rice,2505.16,3061.86,2783.51,311
2025-11-02,Maharashtra,Maharashtra Mandi,Rice,2298.95,2809.83,2554.39,145
2025-11-03,Maharashtra,Maharashtra Mandi,Rice,2135.8,2610.42,2373.11,253
2025-11-04,Maharashtra,Maharashtra Mandi,Rice,2077.5,2539.16,2308.33,84
2025-11-05,Maharashtra,Maharashtra Mandi,Rice,2574.96,3147.18,2861.07,257
2025-11-06,Maharashtra,Maharashtra Mandi,Rice,2404.02,2938.24,2671.13,97
2025-11-07,Maharashtra,Maharashtra Mandi,Rice,2482.17,3033.76,2757.96,424
2025-11-08,Maharashtra,Maharashtra Mandi,Rice,2184.11,2669.47,2426.79,392
2025-11-09,Maharashtra,Maharashtra Mandi,Rice,2430.79,2970.96,2700.87,69
2025-11-10,Maharashtra,Maharashtra Mandi,Rice,2440.13,2982.38,2711.25,254
2025-11-11,Maharashtra,Maharashtra Mandi,Rice,2389.03,2919.92,2654.48,188
2025-11-12,Maharashtra,Maharashtra Mandi,Rice,2237.26,2734.42,2485.84,350
2025-11-13,Maharashtra,Maharashtra Mandi,Rice,2000.55,2445.12,2222.83,444
2025-11-14,Maharashtra,Maharashtra Mandi,Rice,2076.3,2537.7,2307.0,468
2025-11-15,Maharashtra,Maharashtra Mandi,Rice,2022.27,2471.66,2246.97,199
2025-11-16,Maharashtra,Maharashtra Mandi,Rice,2194.89,2682.65,2438.77,221
2025-11-17,Maharashtra,Maharashtra Mandi,Rice,2556.03,3124.03,2840.03,112
2025-11-18,Maharashtra,Maharashtra Mandi,Rice,2038.36,2491.32,2264.84,71
2025-11-19,Maharashtra,Maharashtra Mandi,Rice,2515.58,3074.6,2795.09,99
2025-11-20,Maharashtra,Maharashtra Mandi,Rice,2416.57,2953.58,2685.07,412
2025-11-21,Maharashtra,Maharashtra Mandi,Rice,2169.87,2652.06,2410.97,374
2025-11-22,Maharashtra,Maharashtra Mandi,Rice,2298.08,2808.76,2553.42,60
2025-11-23,Maharashtra,Maharashtra Mandi,Rice,2276.27,2782.11,2529.19,273
2025-11-24,Maharashtra,Maharashtra Mandi,Rice,2119.41,2590.39,2354.9,75
2025-11-25,Maharashtra,Maharashtra Mandi,Rice,2042.24,2496.07,2269.15,431
2025-11-26,Maharashtra,Maharashtra Mandi,Rice,2170.16,2652.41,2411.28,198
2025-11-27,Maharashtra,Maharashtra Mandi,Rice,2545.87,3111.62,2828.75,486
2025-11-28,Maharashtra,Maharashtra Mandi,Rice,2503.86,3060.28,2782.07,141
2025-11-29,Maharashtra,Maharashtra Mandi,Rice,2187.09,2673.11,2430.1,398
2025-11-30,Maharashtra,Maharashtra Mandi,Rice,2418.23,2955.62,2686.93,369
2025-12-01,Maharashtra,Maharashtra Mandi,Rice,2396.85,2929.49,2663.17,76
2025-12-02,Maharashtra,Maharashtra Mandi,Rice,2116.37,2586.68,2351.53,200
2025-12-03,Maharashtra,Maharashtra Mandi,Rice,2578.67,3151.71,2865.19,452
2025-12-04,Maharashtra,Maharashtra Mandi,Rice,2448.24,2992.3,2720.27,93
2025-12-05,Maharashtra,Maharashtra Mandi,Rice,2076.74,2538.24,2307.49,121
2025-12-06,Maharashtra,Maharashtra Mandi,Rice,2110.26,2579.2,2344.73,93
2025-12-07,Maharashtra,Maharashtra Mandi,Rice,2443.31,2986.27,2714.79,194
2025-12-08,Maharashtra,Maharashtra Mandi,Rice,2633.26,3218.43,2925.84,366
2025-12-09,Maharashtra,Maharashtra Mandi,Rice,2441.48,2984.03,2712.75,233
2025-12-10,Maharashtra,Maharashtra Mandi,Rice,2117.34,2587.86,2352.6,309
2025-12-11,Maharashtra,Maharashtra Mandi,Rice,2432.28,2972.79,2702.53,313
2025-12-12,Maharashtra,Maharashtra Mandi,Rice,2089.74,2554.13,2321.93,92
2025-12-13,Maharashtra,Maharashtra Mandi,Rice,2444.7,2987.96,2716.33,408
2025-12-14,Maharashtra,Maharashtra Mandi,Rice,2218.59,2711.61,2465.1,291
2025-12-15,Maharashtra,Maharashtra Mandi,Rice,2611.16,3191.41,2901.29,370
2025-12-16,Maharashtra,Maharashtra Mandi,Rice,2372.67,2899.94,2636.31,466
2025-12-17,Maharashtra,Maharashtra Mandi,Rice,2420.56,2958.46,2689.51,256
2025-12-18,Maharashtra,Maharashtra Mandi,Rice,2321.66,2837.58,2579.62,341
2025-12-19,Maharashtra,Maharashtra Mandi,Rice,2318.0,2833.11,2575.56,290
2025-12-20,Maharashtra,Maharashtra Mandi,Rice,2538.92,3103.12,2821.02,376
2025-12-21,Maharashtra,Maharashtra Mandi,Rice,2487.43,3040.2,2763.82,491
2025-12-22,Maharashtra,Maharashtra Mandi,Rice,2092.49,2557.48,2324.99,289
2025-12-23,Maharashtra,Maharashtra Mandi,Rice,2461.98,3009.09,2735.54,67
2025-12-24,Maharashtra,Maharashtra Mandi,Rice,2673.1,3267.12,2970.11,255
2025-12-25,Maharashtra,Maharashtra Mandi,Rice,2261.55,2764.12,2512.84,313
2025-12-26,Maharashtra,Maharashtra Mandi,Rice,2104.07,2571.64,2337.85,344
2025-12-27,Maharashtra,Maharashtra Mandi,Rice,2292.65,2802.13,2547.39,156
2025-12-28,Maharashtra,Maharashtra Mandi,Rice,2678.5,3273.72,2976.11,195
2025-12-29,Maharashtra,Maharashtra Mandi,Rice,2141.39,2617.25,2379.32,432
2025-12-30,Maharashtra,Maharashtra Mandi,Rice,2382.17,2911.54,2646.85,380
2025-12-31,Maharashtra,Maharashtra Mandi,Rice,2526.13,3087.49,2806.81,67
2026-01-01,Maharashtra,Maharashtra Mandi,Rice,2145.33,2622.07,2383.7,72
2026-01-02,Maharashtra,Maharashtra Mandi,Rice,2502.77,3058.94,2780.85,453
2026-01-03,Maharashtra,Maharashtra Mandi,Rice,2036.1,2488.57,2262.33,150
2026-01-04,Maharashtra,Maharashtra Mandi,Rice,2028.84,2479.69,2254.26,483
2026-01-05,Maharashtra,Maharashtra Mandi,Rice,2563.84,3133.58,2848.71,327
2026-01-06,Maharashtra,Maharashtra Mandi,Rice,2188.16,2674.42,2431.29,259
2026-01-07,Maharashtra,Maharashtra Mandi,Rice,2042.75,2496.69,2269.72,166
2026-01-08,Maharashtra,Maharashtra Mandi,Rice,2095.64,2561.34,2328.49,298
2026-01-09,Maharashtra,Maharashtra Mandi,Rice,2691.16,3289.2,2990.18,185
2026-01-10,Maharashtra,Maharashtra Mandi,Rice,2350.46,2872.78,2611.62,497
2026-01-11,Maharashtra,Maharashtra Mandi,Rice,2070.85,2531.04,2300.95,77
2026-01-12,Maharashtra,Maharashtra Mandi,Rice,2615.68,3196.94,2906.31,179
2026-01-13,Maharashtra,Maharashtra Mandi,Rice,2524.75,3085.8,2805.27,439
2026-01-14,Maharashtra,Maharashtra Mandi,Rice,2167.84,2649.59,2408.71,213
2026-01-15,Maharashtra,Maharashtra Mandi,Rice,2475.17,3025.21,2750.19,439
2026-01-16,Maharashtra,Maharashtra Mandi,Rice,2518.28,3077.9,2798.09,106
2026-01-17,Maharashtra,Maharashtra Mandi,Rice,2300.95,2812.27,2556.61,219
2026-01-18,Maharashtra,Maharashtra Mandi,Rice,2371.35,2898.31,2634.83,391
2026-01-19,Maharashtra,Maharashtra Mandi,Rice,2662.02,3253.58,2957.8,85
2026-01-20,Maharashtra,Maharashtra Mandi,Rice,2446.22,2989.83,2718.02,89
2026-01-21,Maharashtra,Maharashtra Mandi,Rice,2455.15,3000.74,2727.94,65
2026-01-22,Maharashtra,Maharashtra Mandi,Rice,2728.26,3334.54,3031.4,324
2026-01-23,Maharashtra,Maharashtra Mandi,Rice,2513.02,3071.47,2792.25,416
2026-01-24,Maharashtra,Maharashtra Mandi,Rice,2648.1,3236.57,2942.34,99
2026-01-25,Maharashtra,Maharashtra Mandi,Rice,2103.82,2571.34,2337.58,74
2026-01-26,Maharashtra,Maharashtra Mandi,Rice,2485.04,3037.27,2761.16,249
2026-01-27,Maharashtra,Maharashtra Mandi,Rice,2469.81,3018.66,2744.24,55
2026-01-28,Maharashtra,Maharashtra Mandi,Rice,2193.49,2680.94,2437.22,234
2026-01-29,Maharashtra,Maharashtra Mandi,Rice,2245.05,2743.95,2494.5,429
2026-01-30,Maharashtra,Maharashtra Mandi,Rice,2639.16,3225.64,2932.4,237
2025-11-02,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2241.4,2739.49,2490.45,79
2025-11-03,Uttar Pradesh,Uttar Pradesh Mandi,Rice,1970.53,2408.43,2189.48,318
2025-11-04,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2338.28,2857.9,2598.09,393
2025-11-05,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2477.9,3028.55,2753.22,420
2025-11-06,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2250.71,2750.87,2500.79,287
2025-11-07,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2067.8,2527.31,2297.55,69
2025-11-08,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2253.47,2754.24,2503.85,438
2025-11-09,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2417.71,2954.97,2686.34,151
2025-11-10,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2099.36,2565.89,2332.62,110
2025-11-11,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2313.72,2827.88,2570.8,167
2025-11-12,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2219.8,2713.08,2466.44,361
2025-11-13,Uttar Pradesh,Uttar Pradesh Mandi,Rice,1934.38,2364.24,2149.31,293
2025-11-14,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2142.66,2618.81,2380.74,412
2025-11-15,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2115.84,2586.03,2350.94,360
2025-11-16,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2546.14,3111.95,2829.04,318
2025-11-17,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2187.83,2674.01,2430.92,82
2025-11-18,Uttar Pradesh,Uttar Pradesh Mandi,Rice,1999.82,2444.22,2222.02,434
2025-11-19,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2344.47,2865.47,2604.97,189
2025-11-20,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2318.14,2833.28,2575.71,495
2025-11-21,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2137.32,2612.28,2374.8,279
2025-11-22,Uttar Pradesh,Uttar Pradesh Mandi,Rice,1986.31,2427.71,2207.01,112
2025-11-23,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2237.38,2734.57,2485.97,209
2025-11-24,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2561.14,3130.29,2845.72,188
2025-11-25,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2254.03,2754.92,2504.47,401
2025-11-26,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2308.93,2822.03,2565.48,116
2025-11-27,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2233.36,2729.67,2481.51,205
2025-11-28,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2097.18,2563.22,2330.2,435
2025-11-29,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2343.45,2864.21,2603.83,372
2025-11-30,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2205.83,2696.01,2450.92,496
2025-12-01,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2400.71,2934.2,2667.45,263
2025-12-02,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2346.72,2868.21,2607.46,121
2025-12-03,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2416.76,2953.82,2685.29,242
2025-12-04,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2266.29,2769.91,2518.1,449
2025-12-05,Uttar Pradesh,Uttar Pradesh Mandi,Rice,1999.0,2443.22,2221.11,106
2025-12-06,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2309.62,2822.87,2566.24,108
2025-12-07,Uttar Pradesh,Uttar Pradesh Mandi,Rice,1984.55,2425.56,2205.06,394
2025-12-08,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2479.36,3030.32,2754.84,381
2025-12-09,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2536.86,3100.61,2818.73,329
2025-12-10,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2569.72,3140.77,2855.25,483
2025-12-11,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2653.5,3243.16,2948.33,430
2025-12-12,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2286.38,2794.46,2540.42,334
2025-12-13,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2590.73,3166.44,2878.58,407
2025-12-14,Uttar Pradesh,Uttar Pradesh Mandi,Rice,2546.45,3112.33,2829.39,399
